battery_id,chemistry,nominal_voltage_V,rated_capacity_Ah,state_of_charge_percent,state_of_health_percent,temperature_C,internal_resistance_mOhm,cycle_count,age_years,cell_voltage_imbalance_mV,max_temperature_last_24h_C,estimated_available_energy_kWh,station_status
BAT-022,LFP,48,40,52.3,65.3,31.7,81.6,1529,0.78,54.4,32.1,0.655,AVAILABLE
BAT-023,LFP,48,40,68.6,91.9,33.8,52.1,623,1.16,10.5,38.6,1.209,AVAILABLE
BAT-024,LFP,48,40,63.9,79.9,33.6,59.5,681,0.6,39.1,39.7,0.981,AVAILABLE
BAT-025,LFP,48,40,100.0,88.3,33.5,50.8,666,1.27,26.0,41.5,1.695,AVAILABLE
BAT-026,LFP,48,40,53.0,63.9,39.9,80.4,1505,4.8,81.5,44.0,0.65,REVIEW/QUARANTINE
BAT-027,LFP,48,40,71.4,58.0,35.8,88.3,1580,4.55,89.2,36.4,0.795,REVIEW/QUARANTINE
BAT-028,LFP,48,40,75.1,63.4,33.0,79.6,1485,4.15,85.1,36.2,0.915,REVIEW/QUARANTINE
BAT-029,LFP,48,40,69.9,71.2,32.3,73.9,954,4.26,63.5,40.1,0.956,AVAILABLE
BAT-030,LFP,48,40,94.6,67.1,38.8,77.5,1156,4.61,71.1,40.7,1.218,AVAILABLE
BAT-031,LFP,48,40,60.7,88.2,22.6,55.7,681,1.1,37.3,24.1,1.028,AVAILABLE
BAT-032,LFP,48,40,61.8,89.2,38.2,47.4,70,2.99,23.4,45.3,1.057,AVAILABLE
BAT-033,LFP,48,40,52.4,72.8,28.9,70.4,962,2.01,52.1,36.1,0.733,AVAILABLE
BAT-034,LFP,48,40,89.5,78.0,34.0,60.5,1283,1.12,45.3,36.9,1.341,AVAILABLE
BAT-035,LFP,48,40,93.0,94.0,51.0,45.0,209,0.86,6.1,37.9,1.419,REVIEW/QUARANTINE
BAT-036,LFP,48,40,77.5,65.2,31.7,74.5,1445,4.37,69.2,37.4,0.971,AVAILABLE
BAT-037,LFP,48,40,76.3,76.6,30.3,65.8,887,3.26,51.3,35.2,1.123,AVAILABLE
BAT-038,LFP,48,40,50.0,79.5,18.0,59.1,857,3.6,38.5,23.3,0.763,AVAILABLE
BAT-039,LFP,48,40,82.0,67.5,25.8,70.5,1371,4.48,61.8,26.3,1.062,AVAILABLE
BAT-040,LFP,48,40,78.4,91.2,27.3,51.6,347,1.11,21.6,34.7,1.373,AVAILABLE
BAT-041,LFP,48,40,100.0,60.3,24.7,89.9,1551,4.97,93.4,27.2,1.158,REVIEW/QUARANTINE
BAT-042,LFP,48,40,80.5,92.4,22.0,50.3,322,2.56,37.9,25.5,1.428,AVAILABLE
BAT-043,LFP,48,40,56.6,79.2,33.9,65.5,1196,1.85,41.2,38.2,0.861,AVAILABLE
BAT-044,LFP,48,40,66.1,67.6,26.1,68.7,1358,4.7,80.0,28.2,0.858,AVAILABLE
BAT-045,LFP,48,40,100.0,87.2,31.8,55.6,1058,1.45,34.0,33.1,1.674,AVAILABLE
BAT-046,LFP,48,40,48.4,88.9,37.2,59.2,176,4.32,21.8,43.9,0.827,AVAILABLE
BAT-047,LFP,48,40,45.3,78.5,25.8,69.5,1119,0.98,47.8,31.8,0.682,AVAILABLE
BAT-048,LFP,48,40,76.9,82.4,30.3,58.8,892,3.08,36.3,37.7,1.217,AVAILABLE
BAT-049,LFP,48,40,100.0,66.0,36.9,83.1,1586,3.18,65.4,39.1,1.267,AVAILABLE
BAT-050,LFP,48,40,73.6,90.8,29.6,47.5,357,1.8,14.7,37.4,1.283,AVAILABLE
BAT-051,LFP,48,40,49.1,85.8,29.3,52.8,382,3.13,38.1,35.5,0.808,AVAILABLE
BAT-052,LFP,48,40,100.0,82.9,20.5,60.2,509,4.71,27.2,26.7,1.591,AVAILABLE
BAT-053,LFP,48,40,57.2,66.7,37.9,78.7,1347,1.99,64.9,43.7,0.732,AVAILABLE
BAT-054,LFP,48,40,88.5,68.1,29.9,71.8,1564,0.77,73.5,30.6,1.157,AVAILABLE
BAT-055,LFP,48,40,100.0,64.0,24.4,78.6,1550,2.4,92.3,31.1,1.229,REVIEW/QUARANTINE
BAT-056,LFP,48,40,74.1,83.5,35.3,62.5,471,0.69,39.4,37.0,1.188,AVAILABLE
BAT-057,LFP,48,40,84.2,75.9,28.9,63.5,1153,3.36,55.2,32.4,1.226,AVAILABLE
BAT-058,LFP,48,40,100.0,71.6,30.7,71.6,1106,3.75,68.9,35.1,1.374,AVAILABLE
BAT-059,LFP,48,40,46.9,87.0,27.7,54.8,534,0.37,32.6,35.4,0.783,AVAILABLE
BAT-060,LFP,48,40,87.8,70.5,34.7,77.0,1237,4.19,76.2,34.7,1.189,AVAILABLE
BAT-061,LFP,48,40,95.6,70.1,34.4,72.2,1063,3.49,43.1,35.1,1.287,AVAILABLE
BAT-062,LFP,48,40,97.1,89.3,28.7,52.0,489,2.34,33.1,32.8,1.664,AVAILABLE
BAT-063,LFP,48,40,64.0,93.4,31.1,51.7,577,0.23,14.3,33.1,1.149,AVAILABLE
BAT-064,LFP,48,40,81.2,88.7,38.7,48.8,268,1.06,32.3,45.5,1.383,AVAILABLE
BAT-065,LFP,48,40,60.9,86.9,31.8,50.0,663,2.39,46.3,37.8,1.017,AVAILABLE
BAT-066,LFP,48,40,60.4,70.0,28.7,65.6,1244,4.1,64.7,34.0,0.813,AVAILABLE
BAT-067,LFP,48,40,53.8,85.4,38.0,58.6,955,0.42,32.5,45.6,0.883,AVAILABLE
BAT-068,LFP,48,40,84.7,80.1,27.8,58.8,747,3.55,47.1,34.6,1.301,AVAILABLE
BAT-069,LFP,48,40,76.2,72.7,31.4,66.8,1342,0.28,55.2,36.4,1.063,AVAILABLE
BAT-070,LFP,48,40,94.7,80.8,25.0,51.2,489,2.75,45.6,25.7,1.47,AVAILABLE
BAT-071,LFP,48,40,25.2,87.5,26.6,50.3,332,1.56,29.1,27.7,0.424,AVAILABLE
BAT-072,LFP,48,40,54.7,83.9,28.2,51.8,370,3.94,32.0,32.9,0.881,AVAILABLE
BAT-073,LFP,48,40,78.8,88.3,33.8,50.0,723,0.94,18.2,34.2,1.336,AVAILABLE
BAT-074,LFP,48,40,100.0,65.1,36.2,76.6,1574,4.28,78.5,43.7,1.249,AVAILABLE
BAT-075,LFP,48,40,58.2,77.0,28.8,64.7,903,3.84,48.5,35.6,0.861,AVAILABLE
BAT-076,LFP,48,40,37.4,75.9,34.8,74.0,1048,4.88,41.3,37.1,0.545,AVAILABLE
BAT-077,LFP,48,40,60.9,64.4,30.5,73.6,1354,2.82,62.6,37.7,0.753,REVIEW/QUARANTINE
BAT-078,LFP,48,40,71.0,78.5,34.5,62.4,855,1.26,49.3,39.5,1.07,AVAILABLE
BAT-079,LFP,48,40,88.7,72.2,27.1,67.3,932,3.77,51.7,31.3,1.23,AVAILABLE
BAT-080,LFP,48,40,95.0,90.8,32.4,47.3,218,2.77,28.2,37.1,1.655,AVAILABLE
BAT-081,LFP,48,40,86.8,85.4,30.3,55.8,498,0.3,46.5,38.1,1.423,AVAILABLE
BAT-082,LFP,48,40,86.0,88.0,30.0,77.4,1463,1.07,118.0,35.8,0.949,REVIEW/QUARANTINE
BAT-083,LFP,48,40,100.0,80.0,43.5,61.8,1195,1.35,49.3,43.7,1.535,AVAILABLE
BAT-084,LFP,48,40,59.1,86.0,32.5,55.5,559,3.52,50.0,36.3,0.976,AVAILABLE
BAT-085,LFP,48,40,72.8,78.2,38.1,66.6,975,4.49,34.7,39.4,1.093,AVAILABLE
BAT-086,LFP,48,40,84.5,73.4,36.4,69.6,1273,1.0,51.9,43.4,1.191,AVAILABLE
BAT-087,LFP,48,40,62.7,89.9,23.5,47.8,123,2.37,29.9,30.4,1.083,AVAILABLE
BAT-088,LFP,48,40,68.4,68.2,33.1,74.8,1452,3.23,71.4,33.2,0.896,AVAILABLE
BAT-089,LFP,48,40,85.6,80.4,36.5,61.6,465,4.23,30.8,41.7,1.321,AVAILABLE
BAT-090,LFP,48,40,55.1,84.4,23.4,48.4,361,4.41,47.8,25.6,0.893,AVAILABLE
BAT-091,LFP,48,40,69.3,68.7,27.1,78.2,1447,2.45,71.7,34.8,0.914,AVAILABLE
BAT-092,LFP,48,40,69.9,71.4,48.3,72.2,1565,1.03,64.9,49.8,0.959,REVIEW/QUARANTINE
BAT-093,LFP,48,40,100.0,96.7,31.6,45.7,300,1.14,20.4,33.0,1.857,AVAILABLE
BAT-094,LFP,48,40,89.4,71.9,29.0,71.9,1434,3.28,56.0,35.4,1.233,AVAILABLE
BAT-095,LFP,48,40,59.7,81.5,31.3,53.7,896,2.62,52.7,39.1,0.934,AVAILABLE
BAT-096,LFP,48,40,88.2,81.8,26.9,56.2,923,0.49,44.7,29.9,1.385,AVAILABLE
BAT-097,LFP,48,40,52.6,78.6,31.7,63.1,775,4.77,45.5,38.0,0.793,AVAILABLE
BAT-098,LFP,48,40,81.8,71.1,32.3,65.7,1169,3.37,67.2,33.0,1.116,AVAILABLE
BAT-099,LFP,48,40,41.1,71.7,29.8,76.9,963,4.1,51.2,33.7,0.566,AVAILABLE
BAT-100,LFP,48,40,87.9,82.9,38.3,52.3,472,2.0,37.0,44.4,1.399,AVAILABLE
BAT-101,LFP,48,40,70.4,88.9,39.7,59.4,243,2.51,26.1,44.8,1.201,AVAILABLE
BAT-102,LFP,48,40,47.4,76.8,36.4,66.6,1168,1.86,54.0,41.4,0.7,AVAILABLE
BAT-103,LFP,48,40,81.9,89.0,27.3,54.0,607,1.12,26.7,34.2,1.398,AVAILABLE
BAT-104,LFP,48,40,90.3,78.2,28.6,57.8,712,4.6,51.4,29.0,1.355,AVAILABLE
BAT-105,LFP,48,40,81.3,65.2,24.5,77.2,1549,4.37,60.3,25.3,1.018,AVAILABLE
BAT-106,LFP,48,40,77.2,82.7,33.2,56.7,547,2.9,30.0,38.9,1.225,AVAILABLE
BAT-107,LFP,48,40,47.9,98.2,28.8,47.4,180,1.84,17.7,31.5,0.904,AVAILABLE
BAT-108,LFP,48,40,89.6,77.0,28.4,74.8,1127,1.6,51.3,28.6,1.325,AVAILABLE
BAT-109,LFP,48,40,31.1,74.0,27.8,77.5,1303,0.83,50.1,30.3,0.442,AVAILABLE
BAT-110,LFP,48,40,62.5,83.5,32.3,45.8,637,3.57,42.6,37.0,1.002,AVAILABLE
BAT-111,LFP,48,40,100.0,73.7,31.9,69.2,1393,0.41,60.7,37.9,1.415,AVAILABLE
BAT-112,LFP,48,40,46.5,74.4,25.4,62.1,1139,3.1,65.9,27.9,0.664,AVAILABLE
BAT-113,LFP,48,40,38.7,89.8,38.8,50.1,396,3.81,32.8,40.7,0.668,AVAILABLE
BAT-114,LFP,48,40,55.4,72.5,32.0,68.2,1368,0.23,53.1,39.3,0.772,AVAILABLE
BAT-115,LFP,48,40,80.9,77.8,24.3,56.3,837,3.2,51.2,24.9,1.208,AVAILABLE
BAT-116,LFP,48,40,71.9,84.8,35.4,50.5,462,3.22,47.9,42.1,1.17,AVAILABLE
BAT-117,LFP,48,40,93.0,79.4,26.9,65.7,1091,0.62,53.3,27.2,1.417,AVAILABLE
BAT-118,LFP,48,40,74.4,92.0,40.3,47.3,362,3.68,19.3,47.9,1.314,AVAILABLE
BAT-119,LFP,48,40,52.8,90.1,37.9,47.1,575,1.2,39.6,45.6,0.914,AVAILABLE
BAT-120,LFP,48,40,91.5,89.7,33.9,51.1,539,2.34,22.6,39.4,1.576,AVAILABLE
BAT-121,LFP,48,40,62.3,82.4,42.9,53.9,392,1.48,40.7,50.7,0.985,AVAILABLE
BAT-122,LFP,48,40,86.4,87.6,26.7,56.0,701,0.72,16.2,27.9,1.454,AVAILABLE
BAT-123,LFP,48,40,100.0,64.6,32.7,77.7,1580,3.98,75.2,36.6,1.241,REVIEW/QUARANTINE
BAT-124,LFP,48,40,83.3,73.8,29.9,74.1,1176,3.43,60.8,36.9,1.18,AVAILABLE
BAT-125,LFP,48,40,98.8,73.0,26.7,60.2,1067,4.02,57.3,34.0,1.385,AVAILABLE
BAT-126,LFP,48,40,49.7,80.5,24.7,62.9,722,2.36,45.8,25.3,0.768,AVAILABLE
BAT-127,LFP,48,40,65.2,80.5,36.8,59.2,1045,1.53,39.1,44.0,1.007,AVAILABLE
BAT-128,LFP,48,40,77.1,72.4,30.0,63.8,1121,3.51,65.1,36.5,1.072,AVAILABLE
BAT-129,LFP,48,40,50.6,90.6,26.4,44.9,321,1.92,22.8,31.3,0.879,AVAILABLE
BAT-130,LFP,48,40,99.6,62.7,28.5,81.9,1592,3.5,83.2,31.7,1.199,REVIEW/QUARANTINE
BAT-131,LFP,48,40,97.8,92.8,46.7,50.0,282,0.85,27.7,53.0,1.742,AVAILABLE
BAT-132,LFP,48,40,82.9,90.8,31.3,47.3,404,1.88,28.2,33.0,1.445,AVAILABLE
BAT-133,LFP,48,40,85.5,82.7,27.6,57.7,637,4.25,45.1,33.9,1.357,AVAILABLE
BAT-134,LFP,48,40,71.3,75.1,30.0,65.0,1223,1.46,58.5,30.8,1.028,AVAILABLE
BAT-135,LFP,48,40,53.0,93.0,37.1,44.3,283,1.18,22.2,37.5,0.947,AVAILABLE
BAT-136,LFP,48,40,61.8,81.4,30.6,69.4,783,2.06,30.7,36.1,0.965,AVAILABLE
BAT-137,LFP,48,40,68.9,72.0,30.2,74.4,1481,2.1,76.8,36.5,0.952,AVAILABLE
BAT-138,LFP,48,40,78.3,84.8,30.8,63.8,692,0.81,59.9,38.5,1.275,AVAILABLE
BAT-139,LFP,48,40,71.2,68.9,28.5,72.6,1419,2.42,70.0,30.9,0.942,AVAILABLE
BAT-140,LFP,48,40,79.3,80.1,29.8,63.6,978,1.42,40.6,37.0,1.219,AVAILABLE
BAT-141,LFP,48,40,48.1,65.6,38.0,77.8,1300,4.96,76.0,38.4,0.605,AVAILABLE
BAT-142,LFP,48,40,59.2,92.4,30.0,52.6,224,2.32,13.0,35.6,1.05,AVAILABLE
BAT-143,LFP,48,40,77.2,90.5,30.7,51.0,656,1.44,34.2,36.9,1.341,AVAILABLE
BAT-144,LFP,48,40,62.0,97.0,28.0,39.0,531,0.44,14.0,21.1,1.597,AVAILABLE
BAT-145,LFP,48,40,42.1,84.1,34.6,57.9,687,4.08,45.1,37.9,0.68,AVAILABLE
BAT-146,LFP,48,40,80.5,89.9,37.3,48.5,467,2.34,35.2,41.6,1.389,AVAILABLE
BAT-147,LFP,48,40,88.2,86.5,27.7,49.5,647,1.32,18.2,28.2,1.465,AVAILABLE
BAT-148,LFP,48,40,72.7,81.8,33.5,56.7,992,1.31,41.7,40.5,1.142,AVAILABLE
BAT-149,LFP,48,40,75.6,83.4,25.6,61.5,771,3.65,30.0,26.8,1.21,AVAILABLE
BAT-150,LFP,48,40,66.1,84.8,32.7,53.7,390,2.91,55.1,38.8,1.077,AVAILABLE
BAT-151,LFP,48,40,73.2,90.2,32.9,50.4,427,2.26,29.0,39.6,1.268,AVAILABLE
BAT-152,LFP,48,40,66.7,100.0,19.9,42.4,113,0.81,9.4,24.8,1.281,AVAILABLE
BAT-153,LFP,48,40,44.6,95.9,36.5,49.4,42,0.66,24.7,44.5,0.822,AVAILABLE
BAT-154,LFP,48,40,100.0,98.5,37.6,35.1,103,1.96,24.9,42.9,1.892,AVAILABLE
BAT-155,LFP,48,40,80.2,92.5,30.3,45.8,462,0.69,31.8,37.7,1.426,AVAILABLE
BAT-156,LFP,48,40,63.8,74.9,25.6,61.4,1248,0.23,50.9,31.6,0.917,AVAILABLE
BAT-157,LFP,48,40,99.9,65.8,31.0,78.6,1544,4.01,77.4,37.8,1.262,AVAILABLE
BAT-158,LFP,48,40,68.7,74.0,30.3,68.1,1106,1.01,64.4,33.7,0.976,AVAILABLE
BAT-159,LFP,48,40,86.5,82.4,35.7,59.7,347,3.96,41.5,40.8,1.368,AVAILABLE
BAT-160,LFP,48,40,41.5,67.6,30.8,69.5,1365,1.72,77.5,33.7,0.539,AVAILABLE
BAT-161,LFP,48,40,62.4,91.1,30.4,46.5,276,2.47,21.9,36.0,1.091,AVAILABLE
BAT-162,LFP,48,40,95.1,71.3,36.1,63.2,1096,4.03,69.8,36.4,1.301,AVAILABLE
BAT-163,LFP,48,40,100.0,88.1,34.4,55.0,196,3.1,44.8,36.6,1.692,AVAILABLE
BAT-164,LFP,48,40,100.0,91.5,31.6,45.6,121,2.42,32.2,39.1,1.758,AVAILABLE
BAT-165,LFP,48,40,100.0,86.6,27.7,50.6,568,1.55,28.8,33.8,1.662,AVAILABLE
BAT-166,LFP,48,40,100.0,77.8,27.3,65.2,1133,0.48,57.4,30.6,1.493,AVAILABLE
BAT-167,LFP,48,40,60.8,73.4,27.7,72.1,984,3.74,68.9,28.8,0.857,AVAILABLE
BAT-168,LFP,48,40,46.8,76.2,27.1,63.0,893,4.14,62.6,31.4,0.684,AVAILABLE
BAT-169,LFP,48,40,27.2,89.1,29.3,50.9,284,1.51,24.0,36.8,0.465,AVAILABLE
BAT-170,LFP,48,40,76.3,67.6,37.1,76.8,1540,1.57,71.1,42.3,0.99,AVAILABLE
BAT-171,LFP,48,40,69.5,70.5,29.5,70.7,1378,4.16,67.0,30.2,0.94,AVAILABLE
BAT-172,LFP,48,40,100.0,93.5,29.9,41.2,398,0.27,53.9,33.2,1.794,AVAILABLE
BAT-173,LFP,48,40,69.8,70.4,20.9,68.8,1301,0.39,73.1,23.3,0.944,AVAILABLE
BAT-174,LFP,48,40,100.0,93.4,36.4,49.3,161,4.24,23.1,37.6,1.794,AVAILABLE
BAT-175,LFP,48,40,43.4,87.2,29.3,53.8,349,2.02,47.6,36.8,0.727,AVAILABLE
BAT-176,LFP,48,40,100.0,77.0,34.4,59.0,1339,1.99,52.8,40.6,1.479,AVAILABLE
BAT-177,LFP,48,40,72.9,74.6,33.7,64.9,1232,1.81,59.2,40.5,1.045,AVAILABLE
BAT-178,LFP,48,40,100.0,87.3,27.9,55.8,699,1.55,51.7,32.0,1.677,AVAILABLE
BAT-179,LFP,48,40,93.9,77.3,33.7,64.1,581,3.48,66.6,36.3,1.394,AVAILABLE
BAT-180,LFP,48,40,57.4,82.3,23.8,54.6,773,0.78,48.6,29.7,0.906,AVAILABLE
BAT-181,LFP,48,40,92.3,66.4,27.7,71.0,1275,4.39,67.1,35.1,1.177,AVAILABLE
BAT-182,LFP,48,40,62.6,67.6,38.7,76.1,1158,4.97,43.7,44.5,0.812,AVAILABLE
BAT-183,LFP,48,40,92.2,73.0,26.5,76.9,918,4.06,63.3,29.4,1.293,AVAILABLE
BAT-184,LFP,48,40,86.2,89.8,33.4,48.8,325,1.24,23.0,36.5,1.487,AVAILABLE
BAT-185,LFP,48,40,83.0,89.0,31.3,46.4,166,3.82,43.5,37.4,1.419,AVAILABLE
BAT-186,LFP,48,40,71.5,76.3,27.2,60.9,743,4.25,67.1,34.8,1.047,AVAILABLE
BAT-187,LFP,48,40,69.8,82.3,38.7,63.0,879,0.75,33.4,46.5,1.103,AVAILABLE
BAT-188,LFP,48,40,75.9,71.5,30.6,61.1,1291,3.14,52.4,33.4,1.042,AVAILABLE
BAT-189,LFP,48,40,27.1,76.7,35.0,62.2,904,0.86,51.3,39.0,0.399,AVAILABLE
BAT-190,LFP,48,40,94.1,75.3,41.6,65.8,966,3.32,58.9,42.1,1.36,AVAILABLE
BAT-191,LFP,48,40,73.2,88.2,23.7,48.3,382,1.02,43.5,25.7,1.238,AVAILABLE
BAT-192,LFP,48,40,79.0,72.2,30.7,79.6,1448,0.72,50.8,38.0,1.095,AVAILABLE
BAT-193,LFP,48,40,56.3,88.0,35.8,52.6,557,1.93,14.6,36.6,0.95,AVAILABLE
BAT-194,LFP,48,40,80.7,67.3,30.7,76.0,1389,1.74,68.7,34.4,1.043,AVAILABLE
BAT-195,LFP,48,40,65.5,72.7,37.1,74.1,1108,3.08,56.8,38.1,0.914,AVAILABLE
BAT-196,LFP,48,40,100.0,88.9,34.3,50.2,466,2.72,31.2,38.8,1.708,AVAILABLE
BAT-197,LFP,48,40,46.7,80.3,32.3,52.3,822,4.05,61.6,38.1,0.719,AVAILABLE
BAT-198,LFP,48,40,99.4,71.9,33.5,71.2,1281,1.72,57.9,35.8,1.372,AVAILABLE
BAT-199,LFP,48,40,58.7,97.5,27.1,38.3,231,0.53,26.6,34.3,1.099,AVAILABLE
BAT-200,LFP,48,40,81.8,75.0,23.3,63.7,1032,3.65,55.1,27.2,1.179,AVAILABLE
